GENE,CONDITION,INHERITANCE,AGE GROUP,MANIFESTATION CATEGORIES,INTERVENTION/RATIONALE,REFERENCES
ATM,"Breast cancer, susceptibility to; Ataxia-Telangiectasia",AD/AR,"Pediatric (Ataxia-Telangiectasia); Adult (Breast cancer, susceptibility to)",Allergy/Immunology/Infectious; Neurologic; Oncologic; Ophthalmologic,"For breast cancer, susceptibility to, awareness of the risk of malignancy may allow surveillance, preventive measures, and early diagnosis and treatment; In Ataxia-Telangiectasia, for infectious complications, prophylaxis and early and aggressive treatment of infections can be beneficial; Surveillance for malignancy can be beneficial; Precautions should be taken related to ionizing radiation and chemotherapeutic regimens (eg, related to dosage)",311128; 4515676; 4132004; 310962; 7124732; 3496017; 3785360; 3788973; 3574400; 2916583; 2136770; 2253179; 2005780; 1961222; 1304718; 1377828; 8365732; 7836845; 7792600; 8976369; 9054927; 9259193; 9054948; 9463314; 10571946; 10425038; 9887333; 10677309; 10980530; 11826028; 12226795; 12552559; 15942625; 16864838; 16832357; 19535770; 19440741; 20301790; 21429505; 23264026; 23612382; 23900766; 25186627; 25330149
ATN1,"Congenital hypotonia, epilepsy, developmental delay, and digital anomalies; Dentatorubro-pallidoluysian atrophy",AD,N/A,Cardiovascular; Craniofacial; Gastrointestinal; Musculoskeletal; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",6808417; 2742549; 7951323; 8136840; 8041369; 7477999; 8644735; 9568927; 11160976; 15948186; 30827498
ATOH7,"Persistent hyperplastic primary vitreous, autosomal recessive",AR,N/A,Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",9677055; 21441919; 21474777; 22068589; 22645276
ATP11C,"Hemolytic anemia, congenital, X-linked",XL,N/A,Hematologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",26944472
ATP13A2,"Kufor-Rakeb syndrome (Parkinson disease 9); Ceroid lipofuscinosis, neuronal, 12; Spastic paraplegia, autosomal recessive, 78",AR,N/A,Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",16964263; 17485642; 20310007; 22388936; 27217339
ATP1A1,"Hypomagnesemia, seizures, and mental retardation 2",AD,Pediatric,Neurologic; Renal,"The condition can include renal salt wasting, and awareness may allow prompt management (however, seizures have been noted to persist despite magnesium supplementation)",29499166; 30388404
ATP1A2,"Alternating hemiplegia of childhood 1; Migraine, familial hemiplegic 2",AD,Pediatric,Neurologic,"In Alternating hemiplegia of childhood, medical treatment (with calcium channel blockers) has been described as at least partially effective; Vasoconstricting agents (due to risk of stroke) and cerebral angiograophy (due to risk of precipitation of attack) should be avoided",9579893; 12539047; 12953268; 14667076; 14636773; 14636773; 15159495; 15174025; 15210532; 15286158; 15459825; 15985592; 16437583; 16344534;  16538223; 17142831; 17473835; 18056581; 18028456;  18846413; 20301562; 20837964; 21352219; 22759692; 23203776; 23838748; 23918834
ATP1A3,"Alternating hemiplegia of childhood 2; Dystonia 12; Cerebellar ataxia, areflexia, pes cavus, optic atrophy, and sensorineural hearing loss (CAPOS) syndrome",AD,Pediatric,Audiologic/Otolaryngologic; Cardiovascular; Neurologic; Ophthalmologic,"In Alternating hemiplegia of childhood 2, medical treatment with calcium channel blockers has been described as beneficial (though not curative) for treatment of the hemiplegic attacks in the majority of individuals patients; Individuals with ATP1A3-related disorders have been described with arrhthymias, and awareness may allow surveillance and management (eg, with ICD or pacemaker placement)",8733056; 15260953; 17282997; 19652145; 20558373; 22842232; 22850527; 22857851; 22924536; 23409136; 24468074; 24842602; 25056583; 32913013
ATP2A1,Brody myopathy,AR,Pediatric,Musculoskeletal,"Individuals typically present with exercise-induced muscle relaxation impairment, with, stiffening, cramps, and muscle pain, and medical management (eg, with dantrolene or verapamil) has been described as beneficial in some individuals",1405485; 8040329; 8841193; 9367679; 10914677; 20142766 
ATP2A2,Darier-White disease; Acrokeratosis verruciformis (Hopf disease),AD,N/A,Dermatologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",921905; 1619075; 10441324; 10080178; 10441323; 11121153; 12542527; 12925205; 14675181; 22004489; 22035154; 22329366; 22814319; 22909361 
ATP2B3,"Spinocerebellar ataxia, X-linked 1",XL,N/A,Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",10797423; 22912398
ATP2C1,Benign chronic pemphigus,AD,N/A,Dermatologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",4939904; 5093171; 3978039; 2528572; 1554604; 1575528; 10615129; 15545997; 21623880; 21883398; 22124882; 22229453; 22607350; 22788811 
ATP5F1A,"Combined oxidative phosphorylation deficiency 22; Mitochondrial complex V (ATP synthase) deficiency, nuclear type 4",AR,N/A,Biochemical; Cardiovascular; Musculoskeletal; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",23596069; 23599390
ATP5F1E,"Mitochondrial complex V (ATP synthase) deficiency, nuclear type 3",AR,N/A,Biochemical; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",18953340; 20566710
ATP5MK,"Mitochondrial complex V (ATP synthase) deficiency, nuclear type 6",AR,N/A,Biochemical; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",29917077
ATP6AP1,Immunodeficiency 47,XL,Pediatric,Allergy/Immunology/Infectious; Audiologic/Otolaryngologic; Biochemical; Gastrointestinal; Neurologic,"Among other features, individuals may have infantile-onset severe infections (and hypogammaglobulinemia) and awareness may allow preventive measures and early and aggressive treatment of infections",27231034; 29396028; 32058063; 32216104
ATP6AP2,"Mental retardation, X-linked, syndromic, Hedera type; Parkinsonism with spasticity, X-linked",XL,N/A,Musculoskeletal; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",11782983; 15746149; 20629132; 23595882; 23871722
ATP6V0A2,"Cutis laxa, autosomal recessive, type IIA; Wrinkly skin syndrome",AR,N/A,Biochemical; Craniofacial; Dental; Dermatologic; Musculoskeletal; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",15657616; 18157129; 17971833; 19401719; 22773132 
ATP6V0A4,"Renal tubular acidosis, distal, 3, with or without sensorineural hearing loss",AR,Pediatric,Audiologic/Otolaryngologic; Renal,"The condition can involve electrolyte abnormalities, and medical management of these (eg, with alkali replacement) can reverse most biochemical abnormalities, and may be effective, especially in severe cases, to prevent eventual renal insufficiency",10973252; 12414817
ATP6V1A,"Cutis laxa, autosomal recessive, type IID",AR,Pediatric,Cardiovascular; Craniofacial; Dermatologic; Musculoskeletal; Neurologic; Ophthalmologic,"The condition can include early-onset cardiomyopathy, and awareness may allow early diagnosis and management",24459010; 28065471; 29668857
ATP6V1B1,"Renal tubular acidosis, distal, 2, with progressive sensorineural hearing loss",AR,Pediatric,Audiologic/Otolaryngologic; Renal,"Individuals can present in infancy with acute with dehydration (which can be lethal), which can be prevented by early recognition",9916796; 12414817; 12566520; 16433694; 18798332
ATP6V1B2,"Deafness, congenital, with onychodystrophy, autosomal dominant; Zimmermann-Laband syndrome 2",AD,Pediatric,Audiologic/Otolaryngologic; Craniofacial; Dental; Dermatologic; Musculoskeletal; Neurologic,"Early recognition and treatment of hearing impairment may improve outcomes, including speech and language development",18541964; 23994350; 24913193; 25915598
ATP6V1E1,"Cutis laxa, autosomal recessive, type IIC",AR,Pediatric,Cardiovascular; Craniofacial; Dermatologic; Musculoskeletal,"The condition can include early-onset cardiomyopathy, and awareness may allow early diagnosis and management",28065471
ATP7A,Menkes disease,XL,Pediatric,Biochemical; Cardiovascular; Dermatologic; Gastrointestinal; Genitourinary; Musculoskeletal; Neurologic; Renal,"With early diagnosis, daily copper injections may be beneficial (SQ injections before 10 days of life have been reported as resulting in improvement of neurologic outcome); Individuals may be prone to urinary tract infections, and measures such as antibiotic prophylaxis may be beneficial",14472668; 5045346; 1218238; 953234; 6104292; 6140952; 4075564; 2839049; 2512453; 8490646; 8490647; 8490659; 8099605; 7842019; 8149649; 7887410; 8923001; 8528242; 9111998; 9138147; 9511979; 9894833; 14635105; 14985388; 15981243; 16630173; 17108763; 18256395; 19153371; 20652413; 20301586; 20170900; 22992316; 22711717; 22695177; 21221114 
ATP7B,Wilson disease,AR,Pediatric,Biochemical; Gastrointestinal; Neurologic; Ophthalmologic,"Dietary measures (eg, avoidance of copper-containing foods), as well as medications (eg, penicillamine, zinc, vitamin B6, tetrathiomolybdate), and possible liver transplant, can be beneficial",463930; 3900322; 3561699; 3328213; 8298639; 8298641; 8201263; 7884606; 8610495; 9794697; 10435491; 10435489; 10673307; 12376745; 12633149; 12756138; 16283883; 16216950; 20301685; 16606763; 21901655; 22327203; 21832955; 22083169 
ATP8A2,"Cerebellar ataxia, mental retardation, and dysequilibrium syndrome 4",AR,N/A,Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",22892528
ATP8B1,"Familial intrahepatic cholestasis, recurrent; Cholestasis, progressive familial intrahepatic 1; Intrahepatic cholestasis of pregnancy",AD/AR,Pediatric,Gastrointestinal; Obstetric,"In severe forms, specific nutritional care may be beneficial (eg, including specific vitamin E supplementation); Hepatic manifestations may result in death in adolescence/early adulthood without surgical intervention; In pregnancy, Cholestasis, familial intrahepatic, of pregnancy, can cause severe sequelae (including death) in the fetus, as well as adverse maternal health outcomes, and precautions, including early delivery may be beneficial",13840084; 5807632; 5762004; 5049818; 1218817; 3564958; 8088298; 7912266; 9500542; 9918928; 11093741; 15239083; 15448432; 15888793; 15657619; 20301474 
ATPAF2,"Mitochondrial complex V (ATP synthase) deficiency, nuclear type 1",AR,N/A,Biochemical; Cardiovascular; Musculoskeletal; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",14757859; 20566710 
ATR,"Cutaneous telangiectasia and cancer syndrome, familial; Seckel syndrome 1",AD/AR,Pediatric,Craniofacial; Dental; Dermatologic; Musculoskeletal; Neurologic; Oncologic,"Though both Seckel syndrome 1 and Cutaneous telangiectasia and cancer syndrome, familial are potentially recognizable, surveillance and/or awareness of cancer risk may allow early diagnosis and treatment of oncologic manifestations, which may reduce morbidity and mortality ",13869653; 6022184; 4378248; 7046443; 8358044; 8182723; 9128935; 10889046; 12640452; 22341969; 23111928; 30199583; 30846821
ATRX,"Alpha-thalassemia/mental retardation syndrome; Mental retardation-hypotonic facies syndrome, X-linked",XL,N/A,Craniofacial; Genitourinary; Hematologic; Musculoskeletal; Neurologic; Renal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",6267462; 6682021; 6711605; 3239563; 1684092; 7726225; 8644709; 10398237; 10398234; 11449489; 11050622; 10751095; 15508018; 16222662; 16100724; 16813605; 16955409; 16688741; 17579672; 19764021; 20301622; 22089611 
ATXN1,Spinocerebellar ataxia 1,AD,N/A,Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",8275090; 8358429; 7951322; 8198139; 8037204; 8615077; 10424816; 11973625; 14967775; 16133185; 15747371; 18262566; 18685131; 20301363 
ATXN10,Spinocerebellar ataxia 10,AD,N/A,Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",11017075; 11506407; 15127363; 16717236; 17420323; 20301354; 20818609; 21236683; 21531163 
ATXN2,Spinocerebellar ataxia 2,AD,N/A,Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",8896557; 8896555; 8896556; 10735276; 9779806; 10993999; 11761482; 12210804; 12451209; 12671950; 15254952; 14732617; 15747371; 17568014; 17923635; 19676102; 20301452; 21610160; 21562247; 21880993; 21934711
ATXN3,Spinocerebellar ataxia 3 (Machado-Joseph disease),AD,N/A,Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",5061839; 865531; 7874163; 7573040; 7496771; 7795637; 7633439; 7561932; 7655453; 8619527; 8640226; 9403486; 11176969; 15457499; 15747371; 20301375; 21555642; 21635785; 22023810
ATXN7,Spinocerebellar ataxia 7,AD,N/A,Neurologic; Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",7477379; 8908515; 9288099; 9536097; 9736784; 10330346; 10453742; 11030806; 15349877; 15750685; 15747371; 20301433; 23368522
ATXN8,Spinocerebellar ataxia 8,AD,N/A,Neurologic; Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",16804541
ATXN8OS,Spinocerebellar ataxia 8,AD,N/A,Neurologic; Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",10192387; 14756671;  16804541; 19680539; 20301445; 20403608
AUH,"3-methylglutaconic aciduria, type I",AR,N/A,Biochemical; Neurologic; Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",720359; 3082934; 1710267; 1375542; 9762598; 10070612; 12434311; 15033206; 16354225; 17130438; 20855850; 21840233; 23296368
AURKC,Spermatogenic failure 5,AR,N/A,Genitourinary,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",17435757; 19147683; 21733974; 22888167
AUTS2,"Mental retardation, autosomal dominant 26",AD,N/A,Craniofacial; Musculoskeletal; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",22872102; 23332918; 25205402
AVIL,"Nephrotic syndrome, type 21",AR,N/A,Renal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",29058690
AVP,"Diabetes insipidus, neurohypophyseal",AD/AR,Pediatric,Endocrine; Renal,Treatment/prevention of hypernatremia can be effective;  Medications related to osteoporosis/osteopenia may be beneficial,10404801; 10369876; 14673472; 15070970; 22524462 
AVPR2,"Diabetes insipidus, nephrogenic, X-linked; Nephrogenic syndrome of inappropriate antidiuresis",XL,Pediatric,Endocrine; Renal,"In Diabetes insipidus, nephrogenic, X-linked, sequelae may be prevented with early genetic knowledge to allow management of electrolyte and fluid balances (eg, with specific diuretics) has been reported as potentially beneficial); In Nephrogenic syndrome of inappropriate antidiuresis, patients can have electrolyte and fluid imbalances, and management of these issues through initial fluid restriction and osmotic agents) have been reported to be beneficial",13644230; 3970081; 3080575; 1356229; 1303271; 8104196; 9329382; 10477148; 15872203; 16845277; 22722264 
AXIN1,Caudal duplication anomaly,AD/Methylation,N/A,Gastrointestinal; Genitourinary; Musculoskeletal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",12376942; 16773576
AXIN2,Oligodontia-colorectal cancer syndrome,AD,Adult,Dental; Oncologic,"Although the condition may be clinically recognizable in many individuals, the oncologic risk may not be clear, and awareness may allow surveillance for and early treatment of related malignancies (eg, breast cancer, colorectal cancer), which may reduce morbidity and mortality",15042511; 21626677; 21416598 
B2M,Immunodeficiency 43,AR,Pediatric,Allergy/Immunology/Infectious; Cardiovascular; Gastrointestinal; Neurologic; Renal,"Individuals can have immunodeficiency, and antiinfectious prophylaxis and early and aggressive treatment of infections may be beneficial",4186801; 2254461; 16549777; 22693999; 25702838
B3GALNT1,"Blood group, globoside system; Blood group, P1PK system",BG,Pediatric,Hematologic; Neurologic,"Variants associated with a blood group may be important in specific situations (eg, related to transfusion)",12023287
B3GALNT2,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 11",AR,N/A,Cardiovascular; Musculoskeletal; Neurologic; Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",23453667
B3GALT6,"Ehlers-Danlos syndrome, spondylodysplastic type, 2; Spondyloepimetaphyseal dysplasia with joint laxity, type 1, with or without fractures; Al-Gazali syndrome",AR,N/A,Craniofacial; Musculoskeletal; Neurologic; Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",23664117; 23664118; 25149931; 29443383
B3GAT3,"Multiple joint dislocations, short stature, craniofacial dysmorphism, with or without congenital heart defects",AR,N/A,Cardiovascular; Craniofacial; Musculoskeletal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",21763480; 24668659
B3GLCT,Peters-plus syndrome,AR,Pediatric,Craniofacial; Musculoskeletal; Neurologic; Ophthalmologic,"Individuals may be at high risk for ophthalmologic complications, including glaucoma, and surveillance may allow early interventions and management",16909395; 18199743; 18798333; 19796186; 20301637; 21067481; 21671750; 22759511 
B4GALNT1,"Spastic paraplegia 26, autosomal recessive",AR,N/A,Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",23746551
B4GALT1,"Congenital disorder of glycosylation, type IId",AR,Pediatric,Biochemical; Hematologic; Musculoskeletal; Neurologic,"Awareness of coagulopathies may be beneficial in terms of medical management, especially in situations such as surgery",11901181; 11930273; 21920538 
B4GALT7,"Ehlers-Danlos syndrome, spondylodysplastic type, 1",AR,N/A,Craniofacial; Dermatologic; Musculoskeletal; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",3631078; 10473568; 10506123; 15211654; 16583246; 20809901; 24755949
B4GAT1,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 13",AR,N/A,Musculoskeletal; Neurologic; Ophthalmologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",23359570
B9D1,Joubert syndrome 27; Meckel syndrome 9,AR,N/A,Craniofacial; Genitourinary; Musculoskeletal; Neurologic; Renal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",21493627; 24886560
B9D2,Meckel syndrome 10,AR,N/A,Gastrointestinal; Musculoskeletal; Neurologic; Renal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",21763481
BAAT,"Hypercholanemia, familial",AR,Pediatric,Gastrointestinal,"Individuals may present with manifestations including pruritus, sequelae of fat malabsorption (which can be severe), and elevated serum bile acid concentrations, which typically respond to medical treatment (eg, with ursodeoxycholic acid and fat-soluble vitamins)",12704386; 22783059 
BACH2,Immunodeficiency 60,AD,Pediatric,Allergy/Immunology/Infectious,Individuals may manifest with findings such as inflammatory bowel disease and recurrent sinopulmonary infections and antiinfectious prophylaxis and early and aggressive treatment of infections may be beneficial,28530713
BAG3,"Cardiomyopathy, dilated, 1HH; Myopathy, myofibrillar 6",AD,Adult,Cardiovascular; Musculoskeletal; Neurologic,"In Dilated cardiomyopathy, surveillance (eg, with echocardiogram and electocardiogram) may allow early detection and management of manifestations, which may be beneficial; In Myofibrillar myopathy, individuals typically present with slowly progressive weakness, and a significant proportion of individuals demonstrate cardiomyopathy, such that surveillance for arrhythmia or conduction defects may allow early treatment (eg, pacemaker, ICD); Cardiac transplantation may be necessary individuals with severe forms of cardiomyopathy; Heart transplant has been described",16936253; 19085932; 20301672; 21898660; 21256014; 21353195; 21361913; 21459883; 25208129
BANF1,Nestor-Guillermo progeria syndrome,AR,N/A,Cardiovascular; Craniofacial; Dermatologic; Musculoskeletal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",21932319; 21549337
BAP1,Tumor predisposition syndrome,AD,Pediatric,Dermatologic; Oncologic,"Awareness of oncologic risk may allow surveillance for and early treatment of a variety of malignancies (including uveal and cutaneous melanomas, mesothelioma, and several other types of cancer), which may reduce morbidity and mortality",21941004; 21874000 21874003; 23032617; 23341325 
BARD1,"Breast cancer, susceptibility to",AD,Adult,Oncologic,"Though the availability of empirical data is incomplete as applies to both screening strategies and prophylactic treatment, surveillance may allow early detection and management of cancer",14550946; 16768547; 16825437; 17333333; 24549055; 25058500
BBIP1,Bardet-Biedl syndrome 18,AR,N/A,Gastrointestinal; Endocrine; Musculoskeletal; Neurologic; Ophthalmologic; Renal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",24026985
BBS1,Bardet-Biedl syndrome 1,AR ,N/A,Cardiovascular; Craniofacial; Gastrointestinal; Genitourinary; Endocrine; Musculoskeletal; Neurologic; Ophthalmologic; Renal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",12118255; 12567324; 12677556; 12837689; 12524598; 15314642; 20120035; 20301537; 22410627; 22773737; 22940089; 23143442
BBS10,Bardet-Biedl syndrome 10,AR ,N/A,Cardiovascular; Craniofacial; Gastrointestinal; Genitourinary; Endocrine; Musculoskeletal; Neurologic; Ophthalmologic; Renal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",16823392; 16582908; 20120035; 20301537; 20805367; 22410627; 25982971
BBS12,Bardet-Biedl syndrome 12,AR ,N/A,Cardiovascular; Craniofacial; Gastrointestinal; Genitourinary; Endocrine; Musculoskeletal; Neurologic; Ophthalmologic; Renal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",17160889; 20827784; 20120035; 20301537; 22410627; 25982971
BBS2,Bardet-Biedl syndrome 2; Retinitis pigmentosa 74,AR ,N/A,Cardiovascular; Craniofacial; Gastrointestinal; Genitourinary; Endocrine; Musculoskeletal; Neurologic; Ophthalmologic; Renal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",8298649; 11285252; 11567139; 16823392; 16582908; 20120035; 20301537; 20618352; 22410627; 25541840
BBS4,Bardet-Biedl syndrome 4,AR ,N/A,Cardiovascular; Craniofacial; Gastrointestinal; Genitourinary; Endocrine; Musculoskeletal; Neurologic; Ophthalmologic; Renal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",7711739; 11381270; 12016587; 15654695; 20301537; 22219648
BBS5,Bardet-Biedl syndrome 5,AR ,N/A,Cardiovascular; Craniofacial; Gastrointestinal; Genitourinary; Endocrine; Musculoskeletal; Neurologic; Ophthalmologic; Renal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",15137946; 18203199; 20301537; 22410627; 25982971
BBS7,Bardet-Biedl syndrome 7,AR ,N/A,Cardiovascular; Craniofacial; Gastrointestinal; Genitourinary; Endocrine; Musculoskeletal; Neurologic; Ophthalmologic; Renal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",12567324; 21937992; 20301537;  22410627
BBS9,Bardet-Biedl syndrome 9,AR,N/A,Cardiovascular; Craniofacial; Gastrointestinal; Genitourinary; Endocrine; Musculoskeletal; Neurologic; Ophthalmologic; Renal,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",16380913; 20301537
BCAM,"Blood group, Lutheran system; Blood group, Auberger system; Blood group, Lutheran null",BG,Pediatric,Hematologic,"Variants associated with a blood group may be important in specific situations (eg, related to transfusion)",14025138; 4836779; 1146276; 9192786; 9166867; 17319831; 18487511
BCAP31,"Deafness, dystonia, and cerebral hypomyelination",XL,N/A,Audiologic/Otolaryngologic; Craniofacial; Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",24011989
BCAT2,Hypervalinemia and hyperleucine-isoleucinemia,AR,Pediatric,Biochemical,"An individual has been described with clinical and radiological neurologic abnormalities, and biochemical management (eg, with pharmacologic doses of B6) have been reported as yielding clinical and biochemical benefits",25653144
BCHE,Butyrlcholinesterase deficiency,AR,Pediatric,Biochemical,"Individuals have prolonged apnea upon use of specific anesthetics (ie, suxamethonium, succinylcholine)",13711731; 14465122; 4984470; 3741370; 3225823; 2915989; 2911599; 2013061; 1662391; 1349196; 1415224; 8554068; 9543549; 9302273; 9110359; 9388484; 10190327; 10699053; 12881446; 16788378; 18075469; 18555211; 21029050 
BCKDHA,"Maple syrup urine disease, type Ia",AR,Pediatric,Biochemical; Neurologic,"Dietary measures (eg, leucine restriction, high-calorie branched chain amino acid-free formulas, isoleucine and valine supplementation) combined with careful surveillance can be beneficial to prevent decompensation and minimize disease sequelae; specific treatment in times of metabolic decompensation can reduce morbidity and mortaility; Liver transplantation is effective for classic MSUD; Specific monitoring is indicated in pregnancy",8037208; 7883996; 7672509; 11112664; 12042535; 14567968;  14742428; 17922217; 18378174; 20301313; 20301495; 20061171; 22326532 
BCKDHB,"Maple syrup urine disease, type Ib",AR,Pediatric,Biochemical; Neurologic,"Dietary measures (eg, leucine restriction, high-calorie branched chain amino acid-free formulas, isoleucine and valine supplementation) combined with careful surveillance can be beneficial to prevent decompensation and minimize disease sequelae; specific treatment in times of metabolic decompensation can reduce morbidity and mortaility; Liver transplantation is effective for classic MSUD; Specific monitoring is indicated in pregnancy",2022752; 11509994; 11112664; 14567968; 17922217; 20301495; 22326532 
BCKDK,Branched-chain ketoacid dehydrogenase kinase deficiency,AR,Pediatric,Biochemical; Neurologic,"Individuals may present with features such as autism and epilepsy, and though not definitely proven, there is strong evidence that dietary supplementation (eg, with branched chain amino acids) may be beneficial ",22956686
BCL10,Immunodeficiency 37,AR,Pediatric,Allergy/Immunology/Infectious,"Individuals have been described as susceptible to severe infections, and awareness may allow preventive measures and early and aggressive treatment of infections",25365219
BCL11A,Dias-Logan syndrome,AD,N/A,Neurologic,"Genetic knowledge may be beneficial related to issues such as selection of optimal supportive care, informed medical decision-making, prognostic considerations, and avoidance of unnecessary testing",24810580; 27453576
